,date,revenue,rev_per_transaction
961,2016-11-25,1450482.78,699.0566591520894
962,2016-11-28,1511320.32,830.2566994271933
963,2016-12-01,1391603.6800000002,847.682084094759
964,2016-12-04,1422187.52,856.8440991654794
965,2016-12-07,1686375.18,947.8247323845952
966,2016-12-10,1287818.0,679.3130462234407
967,2016-12-13,1739710.08,1061.3914807185433
968,2016-12-16,1317539.325,627.2626824252491
969,2016-12-19,1511601.0,806.606069116594
970,2016-12-22,1717668.81,867.9947521325688
971,2016-12-25,1867686.25,1562.5337088079991
972,2016-12-28,2011489.2,1080.192239533193
973,2016-12-31,1785013.43,1055.5752623734884
974,2017-01-03,2141405.0,1164.1774291927443
975,2017-01-06,1805295.6,839.0542619188524
976,2017-01-09,1548900.0,780.3398444879923
977,2017-01-12,1750688.225,1017.1719895652818
978,2017-01-15,1716577.71,1214.7020858986689
979,2017-01-18,1672839.35,845.5159709925659
980,2017-01-21,2095396.75,1439.0041498774485
981,2017-01-24,1723423.4249999996,923.1176205257802
982,2017-01-27,1976661.18,1276.0788685005998
983,2017-01-30,1736959.14,1011.0315571166013
984,2017-02-02,2047540.5,1238.5001425494784
985,2017-02-05,2069248.1,1126.3585126377523
986,2017-02-08,2002536.9,948.2815922624841
987,2017-02-11,1792077.0,948.2755190607797
988,2017-02-14,2198282.4,1179.0815325437025
989,2017-02-17,2094835.8,989.220919607089
990,2017-02-20,2121402.4,1110.4933193740978
991,2017-02-23,2381379.0,1096.0190296183337
992,2017-02-26,2725922.6,1829.5955279540578
993,2017-03-01,2416017.4000000004,1101.3777430251073
994,2017-03-04,2317878.0,1155.1674644351465
995,2017-03-07,2609873.4,1217.7743051277514
996,2017-03-10,2329338.9,1177.951609494233
997,2017-03-13,2417768.25,1283.7911236308908
998,2017-03-16,2470016.0,1155.575408061547
999,2017-03-19,2267078.8000000003,1387.466702059807
1000,2017-03-22,2248010.7,1128.5159089279202
1001,2017-03-25,1696707.27,928.7460311143124
1002,2017-03-28,2192722.6500000004,1156.0233153968866
1003,2017-03-31,1987418.5,1034.3037570883914
1004,2017-04-03,2669294.6,1630.4373539343585
1005,2017-04-06,2391592.35,1210.3491830341006
1006,2017-04-09,2532236.55,1689.6738014402858
1007,2017-04-12,2357939.5,1204.0123591748086
1008,2017-04-15,2416965.0,1341.8894130364445
1009,2017-04-18,2500974.8,1204.7283515511842
1010,2017-04-21,2983037.75,1507.9802401363384
1011,2017-04-24,2119150.85645,1180.1029599714375
1012,2017-04-27,2725014.34976875,1344.741944569048
1013,2017-04-30,2720215.54725,1459.213495499824
1014,2017-05-03,2760373.225428572,1234.5265129022002
1015,2017-05-06,3610789.2028,1671.0077793367896
1016,2017-05-09,3715393.610828572,1730.0160408990314
1017,2017-05-12,3731717.8665,1808.9020121026886
1018,2017-05-15,4090703.349625,2112.267052526509
1019,2017-05-18,3986174.9808625,1959.255833364976
1020,2017-05-21,4331490.18988125,1952.815176219323
1021,2017-05-24,5524488.081,2512.30256280674
1022,2017-05-27,5121736.6836375,2592.3937009318674
1023,2017-05-30,6132063.831414285,3154.4898015098156
1024,2017-06-02,5437774.586957143,2923.7608214501156
1025,2017-06-05,6586584.0163125,3725.7261362233994
1026,2017-06-08,6905690.49109375,3706.9752487351657
1027,2017-06-11,6255384.1416,4097.437703791971
1028,2017-06-14,5217092.61125,2539.2254508176775
1029,2017-06-17,5461151.4595,3347.5103427864246
1030,2017-06-20,5639440.4777500015,2888.392824803852
1031,2017-06-23,6125531.765714286,3770.4571186755525
1032,2017-06-26,5067818.1988571435,2747.665896305218
1033,2017-06-29,4529057.7655,2352.207414110987
1034,2017-07-02,6165436.660142858,5897.567872569094
1035,2017-07-05,5284210.787311146,3322.0288231171976
1036,2017-07-08,5589288.0402437495,4176.115772591385
1037,2017-07-11,5418689.756978571,3527.3813039531788
1038,2017-07-14,4133223.0875833333,2520.8883128966413
1039,2017-07-17,4307537.8817625,2768.0160063428348
1040,2017-07-20,6303559.8062499985,4436.060489456947
1041,2017-07-23,5998934.926383334,5699.669157978101
1042,2017-07-26,4829127.82765,2984.539991778746
1043,2017-07-29,5536229.74975,4116.760307249188
1044,2017-08-01,5102352.597999998,5764.9329827639785
1045,2017-08-04,6553817.395541668,4975.288872404318
1046,2017-08-07,6700311.56775,4117.025846642798
1047,2017-08-10,6163927.560000001,3201.854100517513
1048,2017-08-13,8147957.339500002,4579.764104082642
1049,2017-08-16,8320553.070685714,3935.269910389582
1050,2017-08-19,8768358.087964285,4962.006323389275
1051,2017-08-22,5749751.915025,2607.092414713577
1052,2017-08-25,7153227.770775,3470.622450260486
1053,2017-08-28,8451775.682825001,4872.298300871986
1054,2017-08-31,11260486.7325,6538.305728749591
1055,2017-09-03,9700709.885216668,7649.736146548791
1056,2017-09-06,10290919.41095,6035.40209819495
1057,2017-09-09,9554034.21192,7410.306952198265
1058,2017-09-12,10193192.465866668,7478.906387163617
1059,2017-09-15,8227898.3176666675,5070.620267735784
1060,2017-09-18,6960684.991666667,4051.286841403764
1061,2017-09-21,8287404.385249998,5714.175015000567
1062,2017-09-24,6815446.316325001,5333.849942880796
1063,2017-09-27,8033183.850641668,4577.738596316207
1064,2017-09-30,7690943.393766668,4990.408920244689
1065,2017-10-03,10134350.2293,6573.469482234911
1066,2017-10-06,8954115.668333333,5018.362388535031
1067,2017-10-09,9983563.752925,5412.949708771714
1068,2017-10-12,10754101.414991666,5612.48146598397
1069,2017-10-15,14217107.120833335,9779.893988360445
1070,2017-10-18,11106217.64025,5088.427550534924
1071,2017-10-21,12037733.180825,5898.26065281555
1072,2017-10-24,12165126.45045,5850.976663859081
1073,2017-10-27,8162322.046433332,3441.0580514530943
1074,2017-10-30,12373554.10683,5754.649828060916
1075,2017-11-02,14715617.8482,6464.160308632576
1076,2017-11-05,13953618.89155,7815.818119988837
1077,2017-11-08,15069064.604000002,7200.843226643127
1078,2017-11-11,8125360.769566666,3339.7497948217333
1079,2017-11-14,14299314.224833336,6729.212745744102
1080,2017-11-17,18692415.92218333,10180.888401506165
1081,2017-11-20,20065228.062908333,10444.298434905468
1082,2017-11-23,17540614.875,7818.914829560457
1083,2017-11-26,18860738.1297,8753.091461776528
1084,2017-11-29,23310275.2025,10130.065085866261
1085,2017-12-02,23388265.604166664,11538.117388697041
1086,2017-12-05,28080616.4,12320.036575969474
1087,2017-12-08,40290718.09,16321.68941977502
1088,2017-12-11,42517108.925,19724.53899960119
1089,2017-12-14,47709970.56600001,17989.304984285962
1090,2017-12-17,53191582.1375,25108.93494791534
1091,2017-12-20,40786861.391666666,14980.712140550633
1092,2017-12-23,41833672.649166666,18866.557320258416
1093,2017-12-26,38893686.49833333,22320.172497426986
1094,2017-12-29,40531227.59,18901.071019348605
1095,2018-01-01,32334328.986666664,20864.567817767424
1096,2018-01-04,42527795.29000001,16810.670878477584
1097,2018-01-07,43826673.42666667,19283.464910819777
1098,2018-01-10,41068171.475,19624.219442677313
1099,2018-01-13,33603224.7,18841.62974504676
1100,2018-01-16,28025172.322499994,14671.174250646138
1101,2018-01-19,28241982.9,19127.929999302185
1102,2018-01-22,24447639.64333333,16626.171070591812
1103,2018-01-25,23853113.880000006,15930.306843520166
1104,2018-01-28,24143236.92,17871.64638063023
1105,2018-01-31,15840583.36,9072.765538389238
1106,2018-02-03,18561807.191666666,15048.234840415069
1107,2018-02-06,17000620.933333334,11838.872516248839
1108,2018-02-09,14685356.425000004,11146.537261750818
1109,2018-02-12,18398084.88,16339.15454948159
1110,2018-02-15,16527155.601000002,10924.536331224172
1111,2018-02-18,21269179.125,21603.22905576977
1112,2018-02-21,22261055.1875,18333.8206280062
1113,2018-02-24,18033349.182,16920.77880201121
1114,2018-02-27,21592349.966666665,15730.411952549202
1115,2018-03-02,21569895.065,17249.458562384338
1116,2018-03-05,21689457.57,16043.294601465464
1117,2018-03-08,19122238.46,15771.159190518374
1118,2018-03-11,18756523.695,19019.565529380186
1119,2018-03-14,14672757.0,11059.751300761089
1120,2018-03-17,14888219.023782605,14358.589442727374
1121,2018-03-20,14275767.4275,9289.547791095365
1122,2018-03-23,14450536.159999998,10688.147511817502
1123,2018-03-26,15370403.125000002,12273.412130689381
1124,2018-03-29,13627332.0,10765.260115066187
1125,2018-04-01,13758062.625,16493.91429855915
1126,2018-04-04,12472512.0625,9872.700841029024
1127,2018-04-07,15587298.0,18143.635434786825
1128,2018-04-10,13914521.916666664,12241.405435900184
1129,2018-04-13,16284279.687499998,12365.985900523283
1130,2018-04-16,14177203.375,10193.393755800435
1131,2018-04-19,18366540.625,15310.969924785619
1132,2018-04-22,17677096.666666668,16456.24871511414
1133,2018-04-25,14253380.313333333,8224.840039126457
1134,2018-04-28,14931203.506666668,9383.271138954215
1135,2018-05-01,17923394.916666668,14162.385273147662
1136,2018-05-04,16751009.250000002,10552.105850211577
1137,2018-05-07,17532514.439999998,12824.727844613606
1138,2018-05-10,17520355.416666668,12912.145013503317
1139,2018-05-13,16146155.583333336,15048.622909765694
1140,2018-05-16,18670664.411666665,16031.856634934416
1141,2018-05-19,15829830.041666668,14069.011083120766
1142,2018-05-22,15129407.250000002,11235.242453414778
1143,2018-05-25,16379524.333333336,14694.574309778556
1144,2018-05-28,13947339.5,11508.253661477924
1145,2018-05-31,15919297.249999998,12916.203872073154
1146,2018-06-03,15688517.725,15645.995173699699
1147,2018-06-06,14067189.5,10017.958096959068
1148,2018-06-09,13551637.529166665,11312.412680646523
1149,2018-06-12,11844835.520833332,8003.453717564869
1150,2018-06-15,12305193.3,9145.46502202943
1151,2018-06-18,13762650.4,11497.795092330813
1152,2018-06-21,14388442.37,12346.666815908093
1153,2018-06-24,13225424.94,14311.60006037134
1154,2018-06-27,9288788.415,5962.248147127472
1155,2018-06-30,10494418.5,8172.275196752548
1156,2018-07-03,9617154.0,5146.967958034022
1157,2018-07-06,13022240.0,10366.323205285757
1158,2018-07-09,11427128.0,7524.180608677971
1159,2018-07-12,11268737.625,7806.480483086445
1160,2018-07-15,10424456.875,8603.438789551414
1161,2018-07-18,16010523.0,11667.473591630405
1162,2018-07-21,12556546.625,9308.544166626083
1163,2018-07-24,15319928.25,9391.916161252015
1164,2018-07-27,16568111.75,12061.511973783441
1165,2018-07-30,13817728.249999998,8018.1167202196375
1166,2018-08-02,14541709.8,9893.94724755751
1167,2018-08-05,14016460.0,13024.861047386183
1168,2018-08-08,12792695.748217406,8535.313829230816
1169,2018-08-11,13261117.57703718,11714.889928685192
1170,2018-08-14,10446684.928103914,5737.572389457045
1171,2018-08-17,12467282.792024255,8105.541563888239
1172,2018-08-20,12251866.122458473,8548.48950088505
1173,2018-08-23,12109214.18260944,8301.156249810476
1174,2018-08-26,14616492.467245607,14637.899337374833
1175,2018-08-29,12423621.458100973,7270.843014450188
1176,2018-09-01,13539458.248050345,9583.50261075794
1177,2018-09-04,11716417.73497896,6355.966824994505
1178,2018-09-07,12425079.415208057,8183.249149060291
1179,2018-09-10,10753469.61358448,6513.862131657161
1180,2018-09-13,12063757.558314493,7623.26007382528
1181,2018-09-16,11344822.244742066,8785.95907143934
1182,2018-09-19,12463162.535762325,7744.887628432952
1183,2018-09-22,13124461.711199127,9019.76866428065
1184,2018-09-25,13676604.30322622,9167.89743981957
1185,2018-09-28,13046981.404769288,7902.938323130875
1186,2018-10-01,13160999.446744487,8563.701147292762
1187,2018-10-04,12429603.122545015,7667.640530117382
1188,2018-10-07,11727102.619028894,7578.578224748001
1189,2018-10-10,11916022.173810994,7005.275441543135
1190,2018-10-13,11117559.48964364,7643.09516004502
1191,2018-10-16,11259236.32218854,5892.214521607232
1192,2018-10-19,11629773.630047524,6506.141433370689
1193,2018-10-22,12699337.842939215,7709.409870030151
1194,2018-10-25,11207341.459096802,6030.682680985636
1195,2018-10-28,11390873.43593899,7253.353411404798
1196,2018-10-31,12962284.68892546,7329.091220414835
1197,2018-11-03,12893634.882908147,8318.007469619863
1198,2018-11-06,10436213.8779013,4679.736194202741
1199,2018-11-09,10321706.721589923,4617.383667406094
1200,2018-11-12,11326127.080883292,5285.420262673616
1201,2018-11-15,9131131.585944597,3977.887698876473
1202,2018-11-18,8720411.742962854,4472.882509328204
1203,2018-11-21,6176914.177171962,2544.013887876678
1204,2018-11-24,7809122.345346143,4466.514258568411
1205,2018-11-27,6283605.987686862,3065.367699265934
1206,2018-11-30,5352395.991837349,2161.010865878517
1207,2018-12-03,5777217.666381482,2736.7435714953085
1208,2018-12-06,6422799.814599185,3100.5384331026557
1209,2018-12-09,5705487.756085352,3061.1790835310753
1210,2018-12-12,5270463.568450036,2419.280737402617
1211,2018-12-15,6066378.704446091,3438.4276681000288
1212,2018-12-18,5802769.461065993,2789.7406186649405
1213,2018-12-21,7151635.290515605,3568.3241645123267
1214,2018-12-24,8035501.839386024,4485.529695834606
1215,2018-12-27,8214950.877737681,4764.353885495489
1216,2018-12-30,8485747.746835375,5580.246538968633
1217,2019-01-02,7368988.355945586,4095.44947937321
1218,2019-01-05,7929513.785019388,4873.867789971644
1219,2019-01-08,8610282.07594605,4568.376859624023
1220,2019-01-11,6853670.724864532,3289.349445734213
1221,2019-01-14,6784730.482436492,3094.494212721849
1222,2019-01-17,5831717.37006628,2496.260826769637
1223,2019-01-20,7156712.105229397,3820.2483374734475
1224,2019-01-23,6614477.629649432,3290.403667294109
1225,2019-01-26,6801219.2824885,3538.799772354701
1226,2019-01-29,6315437.43678308,2826.981272405522
1227,2019-02-01,6936405.398501813,3229.6482092151746
1228,2019-02-04,6402647.08737789,2807.1064930583557
1229,2019-02-07,7460609.226392307,3676.9882830913293
1230,2019-02-10,6428885.586139229,3004.0619008757817
1231,2019-02-13,7058241.982565002,3062.265592136263
1232,2019-02-16,6888190.191543577,3110.8504283820735
1233,2019-02-19,7813554.817929467,3500.1939788911072
1234,2019-02-22,8191358.181069499,3788.116747452966
1235,2019-02-25,6994145.370604962,2971.0688403325557
1236,2019-02-28,7323163.726893245,2986.3891422706515
1237,2019-03-03,7067388.259193323,2917.4110314666673
1238,2019-03-06,6329827.671861834,2915.889996143116
1239,2019-03-09,6857453.694253441,3951.399670164243
1240,2019-03-12,7059132.678641022,3533.853917325098
1241,2019-03-15,7615289.199079893,3923.424074685064
1242,2019-03-18,8136441.822524765,4493.8067389118105
1243,2019-03-21,7340679.564176298,3490.7724922091925
1244,2019-03-24,7553863.147238548,5009.946110758391
1245,2019-03-27,7663796.726939428,2980.029834894737
1246,2019-03-30,7361068.337672193,2708.4027045590583
1247,2019-04-02,9710160.92389774,3796.93321673581
1248,2019-04-05,10409196.260320876,4248.761293576941
1249,2019-04-08,10327106.66303054,4104.033344687596
1250,2019-04-11,10621161.128495222,4139.806399108618
1251,2019-04-14,8035239.172794224,2908.640711749386
1252,2019-04-17,9397443.838735396,3697.491994701114
1253,2019-04-20,8991647.2126373,3682.7969761614754
1254,2019-04-23,8548641.41204141,3180.8592180245373
1255,2019-04-26,10450062.881594073,4139.355301476893
1256,2019-04-29,11128177.917684952,4994.102538174229
